"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UVABUPJX","book","2013","Balzaretti, Ross","Dark Age Liguria: Regional Identity and Local Power, c. 400–1050","","978-1-78093-030-5 1-78093-030-5","","","","Dark Age Liguria surveys the history of the Liguria region from c. 400 to c. 1050 AD, to provide a detailed case study of what happened here as Roman imperial rule ended. The book pulls together all the surviving evidence, written, archaeological, artistic and ecological, to propose that, in contrast with later periods, Ligurians looked north as much as they gazed out to sea. Genoese history under Byzantines, Lombards, Carolingians and Ottonians is compared with that of other coastal settlements, including Albenga, Noli, Perti and Savona and the less-studied but fascinating inland valleys, the Aveto, Polcevera, Stura and Vara. The book draws also on more than fifteen years of fieldwork in and around the small town of Varese Ligure (La Spezia province) to suggest some new methods for investigating the Dark Age past.","2013","2013-09-22 14:31:18","2020-01-30 19:08:35","","","vii, 184 p.","","","","","Dark Age Liguria","Studies in Early Medieval History","","","","Bloomsbury","London","English","","","","","University of Toronto","DG55 .L5 B35","","","G:\My Drive\Library\Monographs\Balzaretti - 2013 - Dark Age Liguria. Regional Identity and Local Power ca. 400–1050.pdf","","Genoa; Mediterranean; Political History; 1000s; 600s; 800s; 900s; Liguria (Italy); 400s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHS7PBSS","journalArticle","1907","Ferretto, Arturo","I primordi e lo sviluppo del Cristianesimo in Liguria ed in particolare a Genova","Atti della società ligure di storia patria","","2037-7134","","","","1907","2017-09-22 03:16:34","2020-02-05 16:27:44","","171-856","","","1ª serie, 39","","ASLSP","","","","","","","","Italian","","","","","University of Toronto","DG631 .S6","","","G:\My Drive\Library\Articles\Ferretto - 1907 - I Primordi e lo sviluppo del Cristianesimo in Liguria ed in particolare a Genova.pdf","","1400s; Genoa; Mediterranean; 1500s; History of Christianity; Religion (History); 1100s; 1200s; 1300s; 1000s; 600s; 700s; 800s; 900s; Liguria (Italy); 1600s; 1700s; Churches (History); Syrus of Genoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRAKGCEC","journalArticle","2004","Brubaker, Leslie","The elephant and the ark: Cultural and material interchange across the Mediterranean in the eighth and ninth centuries","Dumbarton Oaks Papers","","","10.2307/3591385","","","2004","2014-04-28 14:53:51","2024-06-28 20:11:43","","175-195","","","58","","DOP","The elephant and the ark","","","","","","","English","","","","","","","","","G:\My Drive\Library\Articles\Brubaker - 2004 - The elephant and the ark. Cultural and material interchange across the Mediterranean in the eighth a.pdf","","Commerce (History); Mediterranean; Economic History; 800s; Byzantine Empire; Cultural History; Islamic History; Transportation (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E96CQEZ9","book","1974","Manetti, Giannozzo","Elogi dei Genovesi","","","","","","","1974","2014-06-20 14:02:24","2022-11-25 05:16:24","","","193 p.","","","","","","","","","","Marzorati Editore","Milano","Latin, Italian","","","","","University of Michigan","DG637.57 .M36","","","G:\My Drive\Library\Sources\Manetti - 1974 - Elogi dei Genovesi.pdf","","1400s; Genoa; Mediterranean; Sources; Florence (Tuscany); Humanism (History); Milan (Piemonte); Orations (Literature)","","Petti Balbi, Giovanna","","Petti Balbi, Giovanna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRGWX6G6","journalArticle","1925","Ferro, Pietro Fulgenzio","Gli abati di Santa Maria e di San Venerio del Tino nel Golfo della Spezia dal secolo VII al XV","Rivista storica Benedettina","","","","","","1925","2014-06-20 14:20:10","2023-02-17 21:31:18","","76-96, 185-198","","","21","","RSB","","","","","","","","Italian","","","","","","","","","G:\My Drive\Library\Articles\Ferro - 1925 - Gli abati di Santa Maria e di San Venerio del Tino nel Golfo della Spezia dal secolo VII al XV.pdf","","1400s; Genoa; Mediterranean; 1100s; 1200s; 1300s; 1000s; 900s; Liguria (Italy); Monasteries (History); La Spezia (Liguria); Abbazia di San Venerio (Liguria); Isola del Tino (La Spezia)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAJEKFBE","book","2003","Everett, Nicholas","Literacy in Lombard Italy, c. 568–774","","978-0-521-17410-7","","","","This book examines the evidence for literacy in early medieval Italy under the rule of the Lombards, the last of the barbarian invaders who established a kingdom in north and central Italy from 568 to 774, a period usually considered as the darkest of the Dark Ages. By examining different kinds of written evidence—legislation, charters, inscriptions and manuscripts—the book shows that Lombard Italy in fact possessed a relatively sophisticated written culture prior to the so-called Carolingian Renaissance of the ninth century.","2003","2013-09-11 01:23:34","2024-04-27 13:03:23","","","xiv, 382 p.","","","","","Literacy in Lombard Italy","Cambridge Studies in Medieval Life and Thought: Fourth Series","53","","","Cambridge University Press","Cambridge","English","","","","","University of Toronto","P211.3 .I8 E93 ROBARTS","","","","","Mediterranean; Lombard Kingdom; Literacy (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PFT6BXV","book","1863","Carnandet, Joanne","Acta sanctorum","","","","","","","1863","2020-04-16 01:52:00","2020-04-16 01:59:28","","","69 vols.","","","","","","","","","","Victorem Palmé","Parisiis","Latin","","","","","PIMS","BQX 8213 1863 Folio IMS","","","G:\My Drive\Library\Sources\Carnandet - 1863 - Acta sanctorum. Januarii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1863 - Acta sanctorum. Januarii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1863 - Acta sanctorum. Januarii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1864 - Acta sanctorum. Februarii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1864 - Acta sanctorum. Februarii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1865 - Acta sanctorum. Februarii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1865 - Acta sanctorum. Martii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1865 - Acta sanctorum. Martii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1865 - Acta sanctorum. Martii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Aprilis. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Aprilis. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Aprilis. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1866 - Acta sanctorum. Maii. Tomo VII.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Julii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Julii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Julii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Julii. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Junii. Tomo VII.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Octobris. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Octobris. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo VII.pdf; G:\My Drive\Library\Sources\Carnandet - 1867 - Acta sanctorum. Septembris. Tomo VIII.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo II.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Augusti. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Julii. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Julii. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Julii. Tomo VII.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Novembris. Tomo I.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Novembris. Tomo II. Pars I.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo III.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo IV.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo IX.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo V.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo VI.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo VII. Pars I.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo VII. Pars II.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo VIII.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo X.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo XI.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo XII.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Octobris. Tomo XIII.pdf; G:\My Drive\Library\Sources\Carnandet - 1868 - Acta sanctorum. Propylaeum ad septem tomos maii.pdf; G:\My Drive\Library\Sources\Carnandet - 1875 - Acta sanctorum. Supplementum. Auctaria octobris et tabulas generales.pdf","","Mediterranean; Sources; History of Christianity; Hagiography","","","","","","","","","","","","","","","","","","","","","Editio novissima","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JYAZJRF","bookSection","1968","Caraffa, Filippo; Raggi, Angelo Maria","Siro, vescovo di Pavia","Bibliotheca Sanctorum XI, Ragenfreda–Stefano","","","","","","1968","2018-09-11 16:43:23","2020-04-16 01:59:25","","1241-1244","","","","","","","","","","","Istituto Giovanni XXIII","Roma","Italian","","","","","University of Toronto","BX4655.8 .B5","","","G:\My Drive\Library\Articles\Caraffa and Raggi - 1968 - Siro, vescovo di Pavia.pdf","","Genoa; Mediterranean; Hagiography; Syrus of Genoa; Padova (Veneto)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZWTURPJ","journalArticle","1999","Angeli Bertinelli, Maria Gabriella","Le origini: l'età romana e tardoantica","Atti della società ligure di storia patria","","2037-7134","","","","1999","2013-09-10 03:51:16","2022-11-25 05:21:24","","33-75","","","2ª serie, 39","","ASLSP","","","","","","","","Italian","","","","","University of Toronto","DG631 .S6 ROBARTS","","","G:\My Drive\Library\Articles\Angeli Bertinelli - 1999 - Le origini. L'età romana e tardoantica.pdf","","Genoa; Mediterranean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37K6RPX7","book","1954","Pirenne, Henri","Mohammed and Charlemagne","","","","","","This posthumous work of the renowned scholar Henri Pirenne (originally published in 1939) offered a new and decisive explanation of the evolution of Europe from the time of Constantine to that of Charlemagne. His revolutionary ideas overthrew many of the most cherished conceptions concerning the Middle Ages: namely that ""the Germanic invasions destroyed neither the Mediterranean unity of the ancient world, nor the essential features of Roman culture"" and that ""the cause of the break with the tradition of antiquity was the advance of Islam...""","1954","2013-09-24 02:36:56","2020-06-22 17:35:03","","","293 p","","","","","Mohammed and Charlemagne","","","","","George Allen and Unwin","London","English","","","","","University of Toronto","D121 .P513","","","G:\My Drive\Library\Monographs\Pirenne - 1954 - Mohammed and Charlemagne.pdf","","Mediterranean; 600s; 700s; 800s; Islamic History; Carolingian Empire","","","","Miall, Bernard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7IZBMKUB","book","1795","Oltrocchi, Baldassare","Ecclesiae Mediolanensis historia Ligustica in Romanam, Gothicam, Langobardicam","","","","","","","1795","2020-11-10 02:06:34","2022-05-10 22:23:32","","","2 vols.","","","","","","","","","","Galeatiorum Typographio","Mediolanum","Latin","","","","","Open WorldCat","OCLC: 311881603","","","G:\My Drive\Library\Monographs\Oltrocchi - 1795 - Ecclesiae Mediolanensis historia Ligustica in Romanam, Gothicam, Langobardicam. Pars I.pdf; G:\My Drive\Library\Monographs\Oltrocchi - 1795 - Ecclesiae Mediolanensis historia Ligustica in Romanam, Gothicam, Langobardicam. Pars II.pdf","","1400s; Genoa; Mediterranean; 1500s; History of Christianity; 500s; 600s; 700s; 800s; Liguria (Italy); Antiquity; Milan (Piemonte); Lombard Kingdom; Church History","","","","","","","","","","","","","","","","","","","","","In two volumes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9AJ5XET","bookSection","2021","Balzaretti, Ross","Urban life in Lombard Italy: Genoa and Milan compared","Italy and the East Roman World in the Medieval Mediterranean. Empire, Cities and Elites 476–1204: Papers in Honour of Thomas S. Brown","978-1-315-10809-4","","","","This chapter is a contribution to the ongoing debate about what constituted “the city” in Lombard-period Italy, a debate to which Tom Brown has made such a distinguished contribution with his work on Ravenna and latterly the Lombards. Many archaeologists have argued exactly that: Lombard Italy was essentially a rural society, of low population and its cities were merely places of the imagination. Others, usually historians, have argued that it was an urbanised society but that its urban centres were poor. The Barrington Atlas, the definitive mapping of the ancient Greek and Roman worlds published nearly two decades ago, shows clearly that Mediolanum was at the centre of a largely centuriated agricultural hinterland and was a place that was well connected via an extensive road network to neighbouring towns and cities. The flight of Honoratus is, however, problematically documented for there is no strictly contemporary evidence, either for the bishop himself or his supposed escape to Genoa.","2021","2022-11-24 17:19:53","2022-11-24 17:21:18","","304-323","","","","","","Urban life in Lombard Italy","","","","","Routledge","Abingdon, Oxon","English","","","","","","","","","G:\My Drive\Library\Articles\Balzaretti - 2021 - Urban life in Lombard Italy. Genoa and Milan compared.pdf","","Genoa; Mediterranean; 500s; 600s; 700s; Urban History; Milan (Piemonte); Lombard Kingdom","","MacMaster, Thomas J.; Matheou, Nicholas S. M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YYB3A3F","journalArticle","2014","Vocino, Giorgia","Under the aegis of the saints. Hagiography and power in early Carolingian northern Italy","Early Medieval Europe","","0963-9462","10.1111/emed.12037","","In the transition from the Lombard to the Carolingian period, hagiography came to play a fundamental role in the strategies of legitimation and representation of the episcopal churches of the regnum Langobardorum. This article gives an overview of the features, choices, tastes and models of sanctity characteristic of Italian hagiography, against the background of local contexts and political competition. It demonstrates that in the territories under Frankish rule, hagiography represented a chief instrument in the hands of the ecclesiastical elites to shape and use the past in light of the concerns of the present.","2014","2023-02-15 20:37:59","2024-03-01 18:31:25","","26-52","","1","22","","EME","Hagiography and power in early Carolingian northern Italy","","","","","","","English","","","","","","","","","G:\My Drive\Library\Articles\Vocino - 2014 - Under the aegis of the saints. Hagiography and power in early Carolingian northern Italy.pdf","","Mediterranean; Political History; 500s; 600s; 700s; Hagiography; Lombardia (Italy)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8FB8K622","thesis","2021","Garcia, Mariechristine","Gregory the Great’s Rivers: Environment and Hagiography in Sixth Century Italy","","","","","","Gregory the Great has been the focus of many studies that discuss the transition of Italy from late antiquity to a medieval period. He was witness to the dissolution of the infrastructure of empire in the Italian peninsula, shifting and redistribution of populations after the Lombard invasion, and the increased need for the pastoral care of bishops in these new settlements. Hemispheric climate change and the first plague pandemic also stressed the population of Italy. It is under this social and environmental upheaval that Gregory writes his hagiography collection, the Dialogues. In this thesis I argue that Gregory’s ecological literature is reflective not only of the seemingly apocalyptic environment that Gregory lives through, but of a current of cultural change as well. In looking at the destruction of natural world through Gregory’s fluvial literature and relevant palaeoclimatological records, this study identifies how Gregory’s landscape changes when human agents (bishops) and natural agents (rivers) come into conflict, and how that may be reflective of the peninsula’s historical climate changes in the sixth century. Gregory identifies the natural world, in this case rivers, as a powerful force of change that is challenged by bishops and their responsibility to protect the communities they serve. These conflicts between bishops and their local rivers are central to Gregory’s attempt at depicting how pre-Christian and Christian elements function in an environment under such social, political, and climatological stressors.","2021","2023-02-15 21:28:09","2023-02-15 21:29:56","","","61 p.","","","","","Gregory the Great’s Rivers","","","","","University of Nevada","Nevada","English","","M.A. Thesis","","","","","","","G:\My Drive\Library\Monographs\Garcia - 2021 - Gregory the Great’s Rivers. Environment and Hagiography in Sixth Century Italy.pdf","","Mediterranean; History of Christianity; 500s; Italy (Europe); Hagiography; Environmental History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7W99397R","journalArticle","1989","Brown, Thomas; Christie, Neil","Was there a Byzantine model of settlement in Italy?","Mélanges de l'école française de Rome","","","10.3406/mefr.1989.3052","","This paper analyses the results of recent research concerning settlement in Byzantine Italy between the 6th and 8th centuries A.D., concentrating on the well-documented provinces of northern and central Italy. It develops themes first proposed in 1978 by Brown who stressed the role of insecurity and the militarisation of society in promoting seulement change in the imperial territories, in particular through the creation of castra. Besides examining the origin and nature of these castra, and their position in current thinking on the later process of incastellamento, comment is also made on the effects of Byzantine rule on the cities of Italy, assessing levels of continuity and change. The paper is divided into two halves : in the first part the regions of Venetia and the Exarchate are surveyed from a primarily documentary viewpoint in the second half archaeological data provide physical image of settlement change in Liguria and central Italy The combina tion of these various sources of evidence allow important conclusions to be drawn regarding the character of Byzantine rule and settlement in Italy","1989","2023-02-17 20:53:47","2023-02-17 20:56:13","","377-399","","2","101","","MEFR","","","","","","","","English","","","","","","","","","G:\My Drive\Library\Articles\Brown and Christie - 1989 - Was there a Byzantine model of settlement in Italy.pdf","","Mediterranean; 500s; 600s; 700s; Liguria (Italy); Byzantine Empire; Italy (Europe)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG6DPDE2","book","1984","Brown, Thomas S.","Gentlemen and Officers: Imperial Administration and Aristocratic Power in Byzantine Italy, A.D. 554–800","","978-0-904152-09-8","","","","","1984","2023-02-21 15:30:26","2023-02-21 15:31:26","","","xvi, 288 p.","","","","","Gentlemen and Officers","","","","","British School at Rome","London","English","","","","","University of Toronto","DG504 .B76 1984 ROBARTS","","","G:\My Drive\Library\Monographs\Brown - 1984 - Gentlemen and Officers. Imperial Administration and Aristocratic Power in Byzantine Italy.pdf","","Mediterranean; Political History; 500s; 600s; 700s; Byzantine Empire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5NYRZ2W","book","1917","","Liber notitiae sanctorum Mediolani: manoscritto della Biblioteca Capitolare di Milano","","","","","","","1917","2023-11-15 20:40:36","2023-11-15 20:42:03","","","462 p.","","","","","Liber notitiae sanctorum Mediolani","","","","","Biblioteca Ambrosiana","Milano","Latin, Italian","","","","","Open WorldCat","OCLC: 611482602","","","G:\My Drive\Library\Sources\Magistretti and Monneret de Villard - 1917 - Liber notitiae sanctorum Mediolani. Manoscritto della Biblioteca Capitolare di Milano.pdf","","Mediterranean; Sources; 700s; 800s; Hagiography; Milan (Piemonte)","","Magistretti, Marco; Monneret de Villard, Ugo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDYKU4IV","book","1755","Sassi, Giovanni Antonio","Archiepiscoporum Mediolanensium series historicochronologica ad criticae leges et veterum monumentorum","","","","","","","1755","2023-11-15 21:01:20","2023-11-15 21:03:20","","","2 vols.","","","","","","","","","","In regia curia ex Aedibus Palatinis","Mediolani","Latin","","","","","","","","","G:\My Drive\Library\Sources\Sassi - 1755 - Archiepiscoporum Mediolanensium series historicochronologica. Tomus I.pdf; G:\My Drive\Library\Sources\Sassi - 1755 - Archiepiscoporum Mediolanensium series historicochronologica. Tomus II.pdf","","Mediterranean; History of Christianity; 1000s; 500s; 600s; 700s; 800s; 900s; Milan (Piemonte); Church History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RXX8C7A","book","1898","Savio, Fedele","Gli antichi vescovi d'Italia dalle origini al 1300 descritti per regioni. Il Piemonte","","","","","","","1898","2023-11-15 21:10:29","2023-11-15 21:11:16","","","xxv, 622 p.","","","","","","","","","","Fratelli Bocca","Torino","Italian","","","","","","","","","G:\My Drive\Library\Monographs\Savio - 1898 - Gli antichi vescovi d'Italia dalle origini al 1300 descritti per regioni. Il Piemonte.pdf","","Mediterranean; 1100s; 1200s; 1000s; 500s; 600s; 700s; 800s; 900s; Piemonte (Italy); 400s; Church History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GXNXFGZ","book","1984","","Magistra barbaritas: i barbari in Italia","","","","","","Magistra Barbaritas: i Barbari in Italia / Maria Giovanna Arcamone ... [et al.] ;  premessa di Giovanni Pugliese Carratelli.  Milano : Scheiwiller ; Credito italiano, 1984. - 689 p. : ill., parz. ripieg. ; 29 cm PREMESSA di Giovanni Pugliese Carratelli I BARBARI IN ITALIA NEI SECOLI DELL'IMPERO di Lellia Cracco Ruggini GLI OSTROGOTI IN ITALIA di Francesco Giunta  STORIA DEI LONGOBARDI di Carlrichard Briihl LONGOBARDIA MINORE E LONGOBARDI NELL'ITALIA MERIDIONALE di Cosimo Damiano Fonseca GLI UNGARI IN ITALIA E I MUTAMENTI TERRITORIALI FRA VIII E X SECOLO di Aldo A. Settia I VICHINGHI E L'ITALIA NEL IX SECOLO di Albert D'Haenens L'ARTE NELL'ETÀ LONGOBARDA. UNA TRACCIA di Adriano Peroni I BARBARI IN ITALIA NELLA STORIOGRAFIA BIZANTINA di Vera von Falkenhausen LA STORIOGRAFIA NELL'ETÀ BARBARICA. FONTI OCCIDENTALI SUI BARBARI IN ITALIA di Nicola Cilento DIRITTO E SOCIETÀ NEI REGNI OSTROGOTO E LONGOBARDO di Adriano Cavanna I GERMANI D'lTALIA: LINGUE E 'DOCUMENTI' LINGUISTICI di Maria Giovanna Arcamone  LA MONETAZIONE di Ermanno A. Arslan ASPETTI ARCHEOLOGICI DI GOTI, ALAMANNI E LONGOBARDI di Volker Bierbrauer SULLE TRACCE DELLA PRESENZA GOTA IN ITALIA: IL CONTRIBUTO DELLE FONTI ARCHEOLOGICHE di Silvia Lusuardi Siena L'ARTE NELL'ETÀ LONGOBARDA. UNA TRACCIA di Adriano Peroni I BARBARI IN ITALIA NELLA STORIOGRAFIA BIZANTINA di Vera von Falkenhausen LA STORIOGRAFIA NELL'ETÀ BARBARICA. FONTI OCCIDENTALI SUI BARBARI IN ITALIA di Nicola Cilento CODICI MINIATI FRA GPOTI, LONGOBARDI E FRANCHI di Carlo Bertelli  LIBRI E CONTINUITÀ DELLA CULTURA ANTICA IN ETÀ BARBARICA di Guglielmo Cavallo IL CONCETTO DI CLASSICO E L'ALTO MEDIOEVO di Angiola Maria Romanini","1984","2023-11-15 21:13:53","2023-11-15 22:04:18","","","689 p.","","","","","Magistra barbaritas","Antica madre","","","","Libri Scheiwiller","Milano","Italian","","","","","University of Toronto","DG503 .M32 1984 ROBARTS","","","G:\My Drive\Library\Collections\Pugliese Carratelli - 1984 - Magistra barbaritas. I barbari in Italia.pdf","","Mediterranean; 500s; 600s; 700s; 800s; 900s; Italy (Europe); 400s; Lombard Kingdom; Ostrogoths","","Pugliese Carratelli, Giovanni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEJYHZLL","book","2006","Brioschi, Massimo","Percorsi desiani","","","","","","","2006","2023-11-16 19:04:19","2024-03-01 18:47:11","","","218 p.","","","","","","","","","","Città di Desio","Desio","English","","","","","","","","","G:\My Drive\Library\Monographs\Brioschi - 2006 - Percorsi desiani.pdf","","Mediterranean; Desio (Liguria)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3C7BXRIM","bookSection","2020","Benente, Fabrizio","Taggia. Il presidio militare bizantino e medievale di Campomarzio","Liguria medievale ritrovata Un viaggio attraverso l’archeologia della Liguria medievale","978-88-3618-003-5","","","","","2020","2024-02-29 20:06:25","2024-02-29 20:07:07","","86-90","","","","","","","","","","","Genova University Press","Genova","Italian","","","","","","","","","G:\My Drive\Library\Articles\Benente - 2020 - Taggia. Il presidio militare bizantino e medievale di Campomarzio.pdf","","Genoa; Mediterranean; 600s; Liguria (Italy); Archaeology; Taggia (Liguria)","","Benente, Fabrizio; Minella, Massimo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
